id_student,gender,city,age_band,previous_attempts,final_result,course_name,hours_finished,course_id,churn_label
496470,1,Shubra El Kheima,1,0,Pass,Networking & Cybersecurity,27,FFF_2013B,False
603931,1,Cairo,1,0,Withdrawn,Software Engineering Principles,28,DDD_2013J,True
612283,0,El Mahalla El Kubra,1,0,Withdrawn,Software Engineering Principles,22,DDD_2014B,True
344409,1,Mansoura,2,0,Pass,Networking & Cybersecurity,30,FFF_2014B,False
431014,1,Mansoura,1,0,Fail,Web Development Basics,15,CCC_2014B,True
687688,0,Port Said,1,0,Pass,Data Analysis Fundamentals,26,BBB_2014J,False
471157,1,Shubra El Kheima,2,0,Fail,Data Analysis Fundamentals,8,BBB_2014B,True
270988,1,Minya,1,0,Pass,Artificial Intelligence Fundamentals,45,EEE_2014J,False
502694,0,Giza,2,0,Distinction,Data Analysis Fundamentals,32,BBB_2013B,False
577245,1,Beni Suef,1,0,Fail,Web Development Basics,32,CCC_2014B,True
558486,0,Zagazig,2,0,Pass,Database Management & SQL,26,GGG_2014J,False
624126,1,Alexandria,1,0,Withdrawn,Web Development Basics,26,CCC_2014B,True
580912,1,Cairo,1,0,Pass,Software Engineering Principles,56,DDD_2014B,False
2210318,1,Giza,2,0,Distinction,Data Analysis Fundamentals,27,BBB_2013B,False
528204,0,Luxor,1,0,Withdrawn,Data Analysis Fundamentals,5,BBB_2013J,True
1930367,0,Mansoura,2,0,Distinction,Data Analysis Fundamentals,27,BBB_2013B,False
695921,1,Damanhur,3,0,Fail,Artificial Intelligence Fundamentals,17,EEE_2014J,True
630935,1,Hurghada,2,0,Pass,Software Engineering Principles,50,DDD_2014B,False
378825,1,Cairo,1,0,Pass,Artificial Intelligence Fundamentals,38,EEE_2014J,False
697998,1,Minya,2,0,Withdrawn,Web Development Basics,9,CCC_2014J,True
626349,1,Luxor,1,0,Withdrawn,Web Development Basics,17,CCC_2014B,True
481350,0,Minya,1,0,Pass,Software Engineering Principles,41,DDD_2013B,False
612545,0,Zagazig,1,0,Distinction,Networking & Cybersecurity,26,FFF_2014B,False
696265,1,Mansoura,1,0,Withdrawn,Software Engineering Principles,12,DDD_2014J,True
517474,0,Aswan,1,0,Pass,Data Analysis Fundamentals,30,BBB_2013B,False
602898,0,Beni Suef,1,0,Withdrawn,Data Analysis Fundamentals,15,BBB_2014B,True
583192,0,El Mahalla El Kubra,1,0,Pass,Web Development Basics,39,CCC_2014B,False
386374,0,Cairo,1,2,Fail,Data Analysis Fundamentals,18,BBB_2014B,True
